Index,Process,CPU,Time,TypeOfTrace,Function,Duration
1282,irq/33-enp5s0-r-2502,[003],10786102891,funcgraph,napi_gro_receive(),1.736
1283,irq/33-enp5s0-r-2502,[003],10786102897,funcgraph,net_rx_action(),3.964
1284,irq/33-enp5s0-r-2502,[003],10786102898,funcgraph,__netif_receive_skb_core(),2.565
1285,irq/33-enp5s0-r-2502,[003],10786102899,funcgraph,packet_rcv(),1.142
1286,ether_ros-3990,[003],10786106763,funcgraph,ecrt_master_receive(),17.743
1287,ether_ros-3990,[003],10786106765,funcgraph,kernel_recvmsg(),3.328
1288,ether_ros-3990,[003],10786106770,funcgraph,kernel_recvmsg(),0.852
1289,ether_ros-3990,[003],10786106797,funcgraph,ecrt_master_send(),10.935
1290,ether_ros-3990,[003],10786106798,funcgraph,kernel_sendmsg(),8.822
1291,ether_ros-3990,[003],10786106804,funcgraph,e1000_xmit_frame(),1.558
1292,irq/33-enp5s0-r-2502,[003],10786106863,funcgraph,e1000_intr_msix_rx(),0.441
1293,irq/33-enp5s0-r-2502,[003],10786106866,funcgraph,net_rx_action(),6.312
1294,irq/33-enp5s0-r-2502,[003],10786106868,funcgraph,napi_gro_receive(),1.706
1295,irq/33-enp5s0-r-2502,[003],10786106874,funcgraph,net_rx_action(),3.638
1296,irq/33-enp5s0-r-2502,[003],10786106874,funcgraph,__netif_receive_skb_core(),2.231
1297,irq/33-enp5s0-r-2502,[003],10786106875,funcgraph,packet_rcv(),0.857
1298,ether_ros-3990,[003],10786110763,funcgraph,ecrt_master_receive(),6.695
1299,ether_ros-3990,[003],10786110765,funcgraph,kernel_recvmsg(),3.223
1300,ether_ros-3990,[003],10786110770,funcgraph,kernel_recvmsg(),0.437
1301,ether_ros-3990,[003],10786110786,funcgraph,ecrt_master_send(),10.559
1302,ether_ros-3990,[003],10786110787,funcgraph,kernel_sendmsg(),8.622
1303,ether_ros-3990,[003],10786110793,funcgraph,e1000_xmit_frame(),1.591
1304,irq/33-enp5s0-r-2502,[003],10786110886,funcgraph,e1000_intr_msix_rx(),0.517
1305,irq/33-enp5s0-r-2502,[003],10786110889,funcgraph,net_rx_action(),6.450
1306,irq/33-enp5s0-r-2502,[003],10786110890,funcgraph,napi_gro_receive(),1.822
1307,irq/33-enp5s0-r-2502,[003],10786110897,funcgraph,net_rx_action(),3.804
1308,irq/33-enp5s0-r-2502,[003],10786110897,funcgraph,__netif_receive_skb_core(),2.420
1309,irq/33-enp5s0-r-2502,[003],10786110898,funcgraph,packet_rcv(),0.923
1310,ether_ros-3990,[003],10786114763,funcgraph,ecrt_master_receive(),6.557
1311,ether_ros-3990,[003],10786114765,funcgraph,kernel_recvmsg(),3.229
1312,ether_ros-3990,[003],10786114770,funcgraph,kernel_recvmsg(),0.437
1313,ether_ros-3990,[003],10786114785,funcgraph,ecrt_master_send(),10.770
1314,ether_ros-3990,[003],10786114787,funcgraph,kernel_sendmsg(),8.669
1315,ether_ros-3990,[003],10786114793,funcgraph,e1000_xmit_frame(),1.582
1316,irq/33-enp5s0-r-2502,[003],10786114887,funcgraph,e1000_intr_msix_rx(),0.508
1317,irq/33-enp5s0-r-2502,[003],10786114889,funcgraph,net_rx_action(),6.585
1318,irq/33-enp5s0-r-2502,[003],10786114891,funcgraph,napi_gro_receive(),1.789
1319,irq/33-enp5s0-r-2502,[003],10786114897,funcgraph,net_rx_action(),3.813
1320,irq/33-enp5s0-r-2502,[003],10786114898,funcgraph,__netif_receive_skb_core(),2.395
1321,irq/33-enp5s0-r-2502,[003],10786114899,funcgraph,packet_rcv(),0.924
1322,ether_ros-3990,[003],10786118762,funcgraph,ecrt_master_receive(),9.003
1323,ether_ros-3990,[003],10786118764,funcgraph,kernel_recvmsg(),5.360
1324,ether_ros-3990,[003],10786118771,funcgraph,kernel_recvmsg(),0.468
1325,ether_ros-3990,[003],10786118787,funcgraph,ecrt_master_send(),20.870
1326,ether_ros-3990,[003],10786118788,funcgraph,kernel_sendmsg(),8.497
1327,ether_ros-3990,[003],10786118794,funcgraph,e1000_xmit_frame(),1.559
1328,irq/33-enp5s0-r-2502,[003],10786118883,funcgraph,e1000_intr_msix_rx(),0.456
1329,irq/33-enp5s0-r-2502,[003],10786118885,funcgraph,net_rx_action(),9.153
1330,irq/33-enp5s0-r-2502,[003],10786118887,funcgraph,napi_gro_receive(),1.764
1331,irq/33-enp5s0-r-2502,[003],10786118901,funcgraph,net_rx_action(),3.803
1332,irq/33-enp5s0-r-2502,[003],10786118902,funcgraph,__netif_receive_skb_core(),2.363
1333,irq/33-enp5s0-r-2502,[003],10786118903,funcgraph,packet_rcv(),0.916
1334,ether_ros-3990,[003],10786122764,funcgraph,ecrt_master_receive(),6.923
1335,ether_ros-3990,[003],10786122766,funcgraph,kernel_recvmsg(),3.377
1336,ether_ros-3990,[003],10786122771,funcgraph,kernel_recvmsg(),0.425
1337,ether_ros-3990,[003],10786122786,funcgraph,ecrt_master_send(),10.620
1338,ether_ros-3990,[003],10786122788,funcgraph,kernel_sendmsg(),8.577
1339,ether_ros-3990,[003],10786122794,funcgraph,e1000_xmit_frame(),1.588
1340,irq/33-enp5s0-r-2502,[003],10786122851,funcgraph,e1000_intr_msix_rx(),0.487
1341,irq/33-enp5s0-r-2502,[003],10786122853,funcgraph,net_rx_action(),6.399
1342,irq/33-enp5s0-r-2502,[003],10786122855,funcgraph,napi_gro_receive(),1.781
1343,irq/33-enp5s0-r-2502,[003],10786122861,funcgraph,net_rx_action(),3.610
1344,irq/33-enp5s0-r-2502,[003],10786122862,funcgraph,__netif_receive_skb_core(),2.210
1345,irq/33-enp5s0-r-2502,[003],10786122863,funcgraph,packet_rcv(),0.862
1346,ether_ros-3990,[003],10786126763,funcgraph,ecrt_master_receive(),6.850
1347,ether_ros-3990,[003],10786126765,funcgraph,kernel_recvmsg(),3.262
1348,ether_ros-3990,[003],10786126770,funcgraph,kernel_recvmsg(),0.471
1349,ether_ros-3990,[003],10786126785,funcgraph,ecrt_master_send(),10.593
1350,ether_ros-3990,[003],10786126787,funcgraph,kernel_sendmsg(),8.674
1351,ether_ros-3990,[003],10786126793,funcgraph,e1000_xmit_frame(),1.602
1352,irq/33-enp5s0-r-2502,[003],10786126886,funcgraph,e1000_intr_msix_rx(),0.487
1353,irq/33-enp5s0-r-2502,[003],10786126889,funcgraph,net_rx_action(),6.415
1354,irq/33-enp5s0-r-2502,[003],10786126890,funcgraph,napi_gro_receive(),1.732
1355,irq/33-enp5s0-r-2502,[003],10786126896,funcgraph,net_rx_action(),3.931
1356,irq/33-enp5s0-r-2502,[003],10786126897,funcgraph,__netif_receive_skb_core(),2.516
1357,irq/33-enp5s0-r-2502,[003],10786126898,funcgraph,packet_rcv(),0.924
1358,ether_ros-3990,[003],10786130763,funcgraph,ecrt_master_receive(),6.750
1359,ether_ros-3990,[003],10786130765,funcgraph,kernel_recvmsg(),3.338
1360,ether_ros-3990,[003],10786130769,funcgraph,kernel_recvmsg(),0.453
1361,ether_ros-3990,[003],10786130785,funcgraph,ecrt_master_send(),10.611
1362,ether_ros-3990,[003],10786130786,funcgraph,kernel_sendmsg(),8.593
1363,ether_ros-3990,[003],10786130792,funcgraph,e1000_xmit_frame(),1.621
1364,irq/33-enp5s0-r-2502,[003],10786130886,funcgraph,e1000_intr_msix_rx(),0.469
1365,irq/33-enp5s0-r-2502,[003],10786130894,funcgraph,net_rx_action(),6.475
1366,irq/33-enp5s0-r-2502,[003],10786130896,funcgraph,napi_gro_receive(),1.749
1367,irq/33-enp5s0-r-2502,[003],10786130902,funcgraph,net_rx_action(),3.766
1368,irq/33-enp5s0-r-2502,[003],10786130903,funcgraph,__netif_receive_skb_core(),2.376
1369,irq/33-enp5s0-r-2502,[003],10786130904,funcgraph,packet_rcv(),0.940
1370,ether_ros-3990,[003],10786134764,funcgraph,ecrt_master_receive(),6.901
1371,ether_ros-3990,[003],10786134766,funcgraph,kernel_recvmsg(),3.260
1372,ether_ros-3990,[003],10786134771,funcgraph,kernel_recvmsg(),0.489
1373,ether_ros-3990,[003],10786134786,funcgraph,ecrt_master_send(),10.544
1374,ether_ros-3990,[003],10786134788,funcgraph,kernel_sendmsg(),8.634
1375,ether_ros-3990,[003],10786134793,funcgraph,e1000_xmit_frame(),1.596
1376,irq/33-enp5s0-r-2502,[003],10786134886,funcgraph,e1000_intr_msix_rx(),0.503
1377,irq/33-enp5s0-r-2502,[003],10786134889,funcgraph,net_rx_action(),6.450
1378,irq/33-enp5s0-r-2502,[003],10786134891,funcgraph,napi_gro_receive(),1.797
1379,irq/33-enp5s0-r-2502,[003],10786134897,funcgraph,net_rx_action(),3.914
1380,irq/33-enp5s0-r-2502,[003],10786134898,funcgraph,__netif_receive_skb_core(),2.463
1381,irq/33-enp5s0-r-2502,[003],10786134899,funcgraph,packet_rcv(),0.935
1382,ether_ros-3990,[003],10786138774,funcgraph,ecrt_master_receive(),6.637
1383,ether_ros-3990,[003],10786138776,funcgraph,kernel_recvmsg(),3.330
1384,ether_ros-3990,[003],10786138781,funcgraph,kernel_recvmsg(),0.437
1385,ether_ros-3990,[003],10786138797,funcgraph,ecrt_master_send(),10.639
1386,ether_ros-3990,[003],10786138798,funcgraph,kernel_sendmsg(),8.577
