version = 6
CPU 0 is empty
CPU 1 is empty
CPU 2 is empty
cpus=4
       ether_ros-3990  [003]  8697.985663: funcgraph_exit:         7.930 us   |  }
       ether_ros-3990  [003]  8697.985677: funcgraph_entry:                   |  ecrt_master_send() {
       ether_ros-3990  [003]  8697.985679: funcgraph_entry:                   |    kernel_sendmsg() {
       ether_ros-3990  [003]  8697.985684: funcgraph_entry:        1.506 us   |      e1000_xmit_frame();
       ether_ros-3990  [003]  8697.985687: funcgraph_exit:         8.301 us   |    }
       ether_ros-3990  [003]  8697.985688: funcgraph_exit:       + 10.385 us  |  }
 irq/33-enp5s0-r-2502  [003]  8697.985740: funcgraph_entry:        0.456 us   |  e1000_intr_msix_rx();
 irq/33-enp5s0-r-2502  [003]  8697.985742: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.985744: funcgraph_entry:        1.684 us   |    napi_gro_receive();
 irq/33-enp5s0-r-2502  [003]  8697.985749: funcgraph_exit:         6.229 us   |  }
 irq/33-enp5s0-r-2502  [003]  8697.985750: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.985751: funcgraph_entry:                   |    __netif_receive_skb_core() {
 irq/33-enp5s0-r-2502  [003]  8697.985752: funcgraph_entry:        0.867 us   |      packet_rcv();
 irq/33-enp5s0-r-2502  [003]  8697.985754: funcgraph_exit:         2.255 us   |    }
 irq/33-enp5s0-r-2502  [003]  8697.985754: funcgraph_exit:         3.631 us   |  }
       ether_ros-3990  [003]  8697.989655: funcgraph_entry:                   |  ecrt_master_receive() {
       ether_ros-3990  [003]  8697.989657: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.989657: funcgraph_entry:        1.128 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.989661: funcgraph_exit:         4.318 us   |    }
       ether_ros-3990  [003]  8697.989663: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.989663: funcgraph_entry:        0.293 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.989664: funcgraph_exit:         1.041 us   |    }
       ether_ros-3990  [003]  8697.989664: funcgraph_exit:         8.334 us   |  }
       ether_ros-3990  [003]  8697.989679: funcgraph_entry:                   |  ecrt_master_send() {
       ether_ros-3990  [003]  8697.989680: funcgraph_entry:                   |    kernel_sendmsg() {
       ether_ros-3990  [003]  8697.989686: funcgraph_entry:        1.493 us   |      e1000_xmit_frame();
       ether_ros-3990  [003]  8697.989689: funcgraph_exit:         8.226 us   |    }
       ether_ros-3990  [003]  8697.989690: funcgraph_exit:       + 10.296 us  |  }
 irq/33-enp5s0-r-2502  [003]  8697.989785: funcgraph_entry:        0.504 us   |  e1000_intr_msix_rx();
 irq/33-enp5s0-r-2502  [003]  8697.989788: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.989790: funcgraph_entry:        1.914 us   |    napi_gro_receive();
 irq/33-enp5s0-r-2502  [003]  8697.989795: funcgraph_exit:         7.004 us   |  }
 irq/33-enp5s0-r-2502  [003]  8697.989796: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.989797: funcgraph_entry:                   |    __netif_receive_skb_core() {
 irq/33-enp5s0-r-2502  [003]  8697.989799: funcgraph_entry:        0.970 us   |      packet_rcv();
 irq/33-enp5s0-r-2502  [003]  8697.989800: funcgraph_exit:         2.561 us   |    }
 irq/33-enp5s0-r-2502  [003]  8697.989801: funcgraph_exit:         4.079 us   |  }
       ether_ros-3990  [003]  8697.993654: funcgraph_entry:                   |  ecrt_master_receive() {
       ether_ros-3990  [003]  8697.993656: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.993657: funcgraph_entry:        1.137 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.993660: funcgraph_exit:         4.189 us   |    }
       ether_ros-3990  [003]  8697.993661: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.993662: funcgraph_entry:        0.300 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.993663: funcgraph_exit:         1.045 us   |    }
       ether_ros-3990  [003]  8697.993663: funcgraph_exit:         7.953 us   |  }
       ether_ros-3990  [003]  8697.993678: funcgraph_entry:                   |  ecrt_master_send() {
       ether_ros-3990  [003]  8697.993679: funcgraph_entry:                   |    kernel_sendmsg() {
       ether_ros-3990  [003]  8697.993685: funcgraph_entry:        1.505 us   |      e1000_xmit_frame();
       ether_ros-3990  [003]  8697.993688: funcgraph_exit:         8.203 us   |    }
       ether_ros-3990  [003]  8697.993688: funcgraph_exit:       + 10.248 us  |  }
 irq/33-enp5s0-r-2502  [003]  8697.993784: funcgraph_entry:        0.519 us   |  e1000_intr_msix_rx();
 irq/33-enp5s0-r-2502  [003]  8697.993786: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.993788: funcgraph_entry:        1.884 us   |    napi_gro_receive();
 irq/33-enp5s0-r-2502  [003]  8697.993793: funcgraph_exit:         6.815 us   |  }
 irq/33-enp5s0-r-2502  [003]  8697.993795: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.993796: funcgraph_entry:                   |    __netif_receive_skb_core() {
 irq/33-enp5s0-r-2502  [003]  8697.993797: funcgraph_entry:        0.978 us   |      packet_rcv();
 irq/33-enp5s0-r-2502  [003]  8697.993804: funcgraph_exit:         8.243 us   |    }
 irq/33-enp5s0-r-2502  [003]  8697.993805: funcgraph_exit:         9.980 us   |  }
       ether_ros-3990  [003]  8697.997654: funcgraph_entry:                   |  ecrt_master_receive() {
       ether_ros-3990  [003]  8697.997656: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.997657: funcgraph_entry:        1.155 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.997661: funcgraph_exit:         4.364 us   |    }
       ether_ros-3990  [003]  8697.997662: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8697.997662: funcgraph_entry:        0.314 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8697.997663: funcgraph_exit:         1.075 us   |    }
       ether_ros-3990  [003]  8697.997664: funcgraph_exit:         8.238 us   |  }
       ether_ros-3990  [003]  8697.997678: funcgraph_entry:                   |  ecrt_master_send() {
       ether_ros-3990  [003]  8697.997680: funcgraph_entry:                   |    kernel_sendmsg() {
       ether_ros-3990  [003]  8697.997686: funcgraph_entry:        1.538 us   |      e1000_xmit_frame();
       ether_ros-3990  [003]  8697.997689: funcgraph_exit:         9.171 us   |    }
       ether_ros-3990  [003]  8697.997690: funcgraph_exit:       + 11.130 us  |  }
 irq/33-enp5s0-r-2502  [003]  8697.997785: funcgraph_entry:        0.524 us   |  e1000_intr_msix_rx();
 irq/33-enp5s0-r-2502  [003]  8697.997788: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.997790: funcgraph_entry:        1.895 us   |    napi_gro_receive();
 irq/33-enp5s0-r-2502  [003]  8697.997795: funcgraph_exit:         6.815 us   |  }
 irq/33-enp5s0-r-2502  [003]  8697.997796: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8697.997797: funcgraph_entry:                   |    __netif_receive_skb_core() {
 irq/33-enp5s0-r-2502  [003]  8697.997798: funcgraph_entry:        0.967 us   |      packet_rcv();
 irq/33-enp5s0-r-2502  [003]  8697.997800: funcgraph_exit:         2.470 us   |    }
 irq/33-enp5s0-r-2502  [003]  8697.997801: funcgraph_exit:         3.939 us   |  }
       ether_ros-3990  [003]  8698.001654: funcgraph_entry:                   |  ecrt_master_receive() {
       ether_ros-3990  [003]  8698.001656: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8698.001657: funcgraph_entry:        1.125 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8698.001663: funcgraph_exit:         6.264 us   |    }
       ether_ros-3990  [003]  8698.001664: funcgraph_entry:                   |    kernel_recvmsg() {
       ether_ros-3990  [003]  8698.001664: funcgraph_entry:        0.296 us   |      __skb_recv_datagram();
       ether_ros-3990  [003]  8698.001665: funcgraph_exit:         1.039 us   |    }
       ether_ros-3990  [003]  8698.001666: funcgraph_exit:       + 10.018 us  |  }
       ether_ros-3990  [003]  8698.001680: funcgraph_entry:                   |  ecrt_master_send() {
       ether_ros-3990  [003]  8698.001682: funcgraph_entry:                   |    kernel_sendmsg() {
       ether_ros-3990  [003]  8698.001687: funcgraph_entry:        1.528 us   |      e1000_xmit_frame();
       ether_ros-3990  [003]  8698.001690: funcgraph_exit:         8.259 us   |    }
       ether_ros-3990  [003]  8698.001691: funcgraph_exit:       + 10.341 us  |  }
 irq/33-enp5s0-r-2502  [003]  8698.001743: funcgraph_entry:        0.463 us   |  e1000_intr_msix_rx();
 irq/33-enp5s0-r-2502  [003]  8698.001746: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8698.001747: funcgraph_entry:        1.677 us   |    napi_gro_receive();
 irq/33-enp5s0-r-2502  [003]  8698.001755: funcgraph_exit:         8.962 us   |  }
 irq/33-enp5s0-r-2502  [003]  8698.001756: funcgraph_entry:                   |  net_rx_action() {
 irq/33-enp5s0-r-2502  [003]  8698.001757: funcgraph_entry:                   |    __netif_receive_skb_core() {
 irq/33-enp5s0-r-2502  [003]  8698.001758: funcgraph_entry:        0.870 us   |      packet_rcv();
 irq/33-enp5s0-r-2502  [003]  8698.001760: funcgraph_exit:         2.229 us   |    }
 irq/33-enp5s0-r-2502  [003]  8698.001760: funcgraph_exit:         3.638 us   |  }
